更新日期,梗的名称,热度,梗的简单解释,梗的来源,环比昨天热度变化
2025-05-24,IG EDG,4844281.0,形容两队比赛激烈，源于IG和EDG战队对决。,B站热搜,0
2025-05-24,UP主破防将起诉小米,4684327.0,UP主因情绪崩溃，夸张表示要起诉小米。,B站热搜,0
2025-05-24,JOJO结局爆改全员存活,4604051.0,JOJO替换悲剧结局，角色全活，网友创意改编。,B站热搜,0
2025-05-24,ShowMaker阿狸杀疯,4460170.0,ShowMaker选阿狸表现出色，击杀众多敌人。,B站热搜,0
2025-05-24,唐国强再次扮演丞相,4386210.0,唐国强常演历史角色，调侃其适合权谋类角色。,B站热搜,0
2025-05-24,单依纯把马嘉祺调成啥了,793373.0,指两人合唱时音色互补效果好。,微博热搜,0
2025-05-24,谍报上不封顶,463673.0,形容信息量巨大，常用于调侃或夸张场景。,微博热搜,0
2025-05-24,特朗普杀疯了,405143.0,形容特朗普言行夸张，做事极端，引发热议。,微博热搜,0
2025-05-24,郝蕾 不红就是原罪红了什么都对,398910.0,不红时被批评，红了就受认可。,微博热搜,0
2025-05-24,王楚钦若夺冠仍无法重返世一,215913.0,王楚钦夺冠也不被认为是世界第一。,微博热搜,0
2025-05-24,易烊千玺怎么能争气成这样,207805.0,赞美易烊千玺成就高，表现优异。,微博热搜,0
2025-05-24,人在icu被写欠条真正借款人找到了,189013.0,指事情真相水落石出，责任人被找到。,微博热搜,0
2025-05-24,女生洗头的精密推理逻辑是什么,174046.0,调侃女生洗头前复杂的时间安排。,微博热搜,0
